image,damage_area_ratio,damage_count,crack_length_px,severity_score,Crack_Crazing_area_ratio,Crack_Longitudinal_area_ratio,Crack_Transverse_area_ratio,pothole_area_ratio
1675842438238_jpg.rf.4c2bbcec5c90dd6315f73ae1b4e3f5df.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
AM_sunny_CI02_20211019_094411_20_2_jpg.rf.f08a58ef254e09aa5c45e76fabf07d19.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
fp35_png.rf.a170fd13bd6992aa575cf3ae0f631cd8.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
fp38_png.rf.f9cc6280638903869e69574c52e8ad7f.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_11_12180_jpg.rf.8fb4d21748124a440eca068494eb0479.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_11_12200_jpg.rf.8e8b9a2d5616bdb67d829b03cf77572b.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_11_12235_jpg.rf.dd8743f10fd358e91293982f344e4336.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_11_142315_jpg.rf.e4d2c5830399174efcab0c626dd88ae9.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_11_172850_jpg.rf.8cb713b26861010aa61c69b0bb50ede1.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_11_98195_jpg.rf.e48d52935e1224bd8dc93639603a0a62.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_12_50635_jpg.rf.d00aa967fecc70847e9e63bac0c1ef04.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_12_79790_jpg.rf.633cf836e7322003286c7b30c62bf267.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_12_85290_jpg.rf.cbfb32bc350e30ff739d76e2bd017baf.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0006_jpg.rf.274342aa43877155f49e6e341f46ac74.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0045_jpg.rf.d7696bd5604e5f44b5878d4dd9065018.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0055_jpg.rf.2228f21a32d669db6c78fb1c1e9edf21.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0091_jpg.rf.b45d808213a017fa342ad0be31d99093.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0119_jpg.rf.270937ba1c8ce516ab536ef6ebb8b78e.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0448_jpg.rf.ab9ae335f1078b0f9dc61b8e7d9d7fc8.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0555_jpg.rf.6be3c5890624da1c717948371ccdbecf.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0647_jpg.rf.c9b0f470db66ab2df52ba8a2092d2874.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_0800_jpg.rf.774facaf388d3f321b3914bc1952fa82.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_1105_jpg.rf.ee1e8bfb800a90b008bbd3bbc2c8541b.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_1187_jpg.rf.eaf21e3a0f734c0ce1b816510e266885.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_1224_jpg.rf.43b07ef5a714373f0ffc9433bb9f6631.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_1245_jpg.rf.de23279f78aa39d86fdf632b0b64440b.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_1405_jpg.rf.da94167243933923e8bd74bb1e99876f.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_1546_jpg.rf.43d0c863924bb5ecd20551b7698d7dac.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_1696_jpg.rf.1792b07c0c62f3f22a5d5c73f21e0d2a.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
frame_15_1727_jpg.rf.b46fa89c1be53f7d128d9abd2de9ff73.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20210924_122109_586_1_jpg.rf.c698764dfd39a4bf6e504bdeefa63006.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20210924_130237_1_2_jpg.rf.248fa2391301238e23b7f69339815702.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20210924_140617_581_2_jpg.rf.17251dcabeaae0c3cece3a5f1cfa84a7.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20210924_140617_581_3_jpg.rf.370c7869a4d0d094fd302fb4066e299c.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20210924_143437_115_1_jpg.rf.fd42725bbe0418b8246c7476b5030ecf.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20211006_134121_93_1_jpg.rf.5101477cf01e51275bc726b4fe3b1da3.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20211006_152134_213_3_jpg.rf.03eb1ab12a5ae77821a909b7229aa910.jpg,0.003764,1,0.0,0.009411,0.0,0.0,0.0,0.003764
PM_sunny_CI01_20211018_135950_393_1_jpg.rf.34e1ca42b78b685deb53c9eda7a8a6fd.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20211019_142755_120_2_jpg.rf.e1314cbb9e96df47b7bf945b08ba2288.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20211019_142755_122_2_jpg.rf.cb88d3ebb29bd02f5ac3907f241ef5d2.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI01_20211028_160309_238_1_jpg.rf.cad2480e02c3c7004fe8fe5eb7db4b6c.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI02_20211006_132412_553_3_jpg.rf.63592689360ff41daf95435fa756ced5.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI02_20211006_132412_554_1_jpg.rf.13fef79575a90cb974428c60cea20613.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI02_20211007_134819_3_1_jpg.rf.f81d4ed970a0a6652c5b2ab8c35f6c37.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI02_20211015_132642_76_1_jpg.rf.1d863bd957bcccafa7daaf12707168ee.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI02_20211015_132642_76_2_jpg.rf.69821cfc4e7fae55cb062d9710a4994c.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI02_20211018_151055_142_1_jpg.rf.1ce0381211ee0e13360addf180228971.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI02_20211018_151055_189_3_jpg.rf.4caf3246cfb23c4c7c8979ba373a2a0e.jpg,0.002153,1,0.0,0.005382,0.0,0.0,0.0,0.002153
PM_sunny_CI02_20211019_155244_38_1_jpg.rf.5e25aebd786521d5f931f1115bf826e9.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI03_20210928_152726_753_1_jpg.rf.96b5e953bc199566e081eddb25533c66.jpg,0.005231,1,0.0,0.013079,0.0,0.0,0.0,0.005231
PM_sunny_CI03_20211006_145428_1_2_jpg.rf.2193218c2c27861425620a0b72969700.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI03_20211008_152149_35_3_jpg.rf.029696c2fcb706743c7b3da07513940f.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PM_sunny_CI04_20211026_130946_792_2_jpg.rf.09883f61336e9b232d159edc036a2b0b.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
V0B_HY_2605_20210108_093637_E_CH2_Busan_Sun_Mainroad_Day_57410_jpg.rf.084db37817acca4568d69cb7c1d68a57.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
V1F_HY_3702_20210111_151409_E_CH0_Busan_Sun_Mainroad_Day_56572_jpg.rf.6f8f5b69bbdb5219cd6c7996170c0bb7.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
ysw_pothole_05_241128_png.rf.777568f6ff2b631029d2fca32f618f88.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yuseonggu_20240214_175750_jpg.rf.2c3f41badc65cac517c88f2e8779101f.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yuseonggu_20240215_105254_jpg.rf.5da320175ef239fd874241d2eca3b2a8.jpg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
